Year,ERP
1981,14923260
1982,15184247
1983,15393472
1984,15579391
1985,15788312
1986,16018350
1987,16263874
1988,16532164
1989,16814416
1990,17065128
1991,17284036
1992,17478635
1993,17634808
1994,17805468
1995,18004882
1996,18224767
1997,18423037
1998,18607584
1999,18812264
2000,19028802
2001,19274701
2002,19495210
2003,19720737
2004,19932722
2005,20176844
2006,20450966
2007,20827622
2008,21249199
2009,21691653
2010,22031750
2011,22340024
2012,22733465
2013,23128129
2014,23475686
2015,23815995
2016,24190907
2017,24601860
2018,24982688
2019,25364307
2020,25364307
2021,25364307
2022,25364307
2023,25364307
2024,25364307
2025,25364307
2026,25364307
2027,25364307
2028,25364307
