"","Year","Female_DiabUnder_F","Male_DiabUnder_F","ERP_rateFem_F","ERP_rateMale_F","ERP"
"1",1981,14.4817813765182,18.672064777328,2161.15388744939,2786.48077408907,14923260
"2",1982,14.4443593390962,18.7225079330343,2193.26719961593,2842.87184914652,15184247
"3",1983,14.4069373016741,18.7729510887406,2217.72785959076,2889.80896941898,15393472
"4",1984,14.3695152642521,18.8233942444469,2238.68296782252,2932.57018881388,15579391
"5",1985,14.3320932268301,18.8738374001532,2262.7955947828,2979.86033510888,15788312
"6",1986,14.294671189408,18.9242805558595,2289.77046246854,3031.35749441952,16018350
"7",1987,14.257249151986,18.9747237115658,2318.78103794507,3086.02515629719,16263874
"8",1988,14.219827114564,19.0251668672721,2350.84513909618,3145.27178777109,16532164
"9",1989,14.1824050771419,19.0756100229785,2384.68858847576,3207.4524238013,16814416
"10",1990,14.1449830397199,19.1260531786848,2413.85946130649,3263.88545629062,17065128
"11",1991,14.1075610022978,19.1764963343911,2438.35592235912,3314.47252997484,17284036
"12",1992,14.0701389648758,19.2269394900974,2459.26823366342,3360.60657514498,17478635
"13",1993,14.0327169274538,19.2773826458037,2474.64268733997,3399.5294170128,17634808
"14",1994,13.9952948900317,19.32782580151,2491.92775315023,3441.40983818361,17805468
"15",1995,13.9578728526097,19.3782689572163,2513.09853682241,3489.03445938943,18004882
"16",1996,13.9204508151876,19.4287121129227,2536.96972641755,3540.83751368093,18224767
"17",1997,13.8830287777656,19.479155268629,2557.67552844841,3588.65198242697,18423037
"18",1998,13.8456067403436,19.5295984243353,2576.33290451909,3633.98643167086,18607584
"19",1999,13.8081847029215,19.5800415800416,2597.63215992122,3683.4491133472,18812264
"20",2000,13.7707626654995,19.6304847357479,2620.41116150782,3735.44607200569,19028802
"21",2001,13.7333406280775,19.6809278914542,2647.06034337345,3793.4400051034,19274701
"22",2002,13.6959185906554,19.7313710471605,2670.04809067732,3846.67222152315,19495210
"23",2003,13.6584965532334,19.7818142028668,2693.55618341722,3901.11955277602,19720737
"24",2004,13.6210745158114,19.8322573585732,2715.05091664952,3953.10872560893,19932722
"25",2005,13.5836524783893,19.8827005142795,2740.75237006675,4011.70146575337,20176844
"26",2006,13.5462304409673,19.9331436699858,2770.33498176387,4076.52043467994,20450966
"27",2007,13.5088084035452,19.9835868256921,2813.56355099464,4162.10592609695,20827622
"28",2008,13.4713863661232,20.0340299813984,2862.56169699639,4257.07089846701,21249199
"29",2009,13.4339643287012,20.0844731371047,2914.04892632564,4356.65421977897,21691653
"30",2010,13.3965422912791,20.134916292811,2951.49270625889,4436.0744203414,22031750
"31",2011,13.3591202538571,20.1853594485173,2984.43067090054,4509.41414528504,22340024
"32",2012,13.3216982164351,20.2358026042237,3028.48360143889,4600.29910250028,22733465
"33",2013,13.284276179013,20.28624575993,3072.4045313984,4691.82908861363,23128129
"34",2014,13.246854141591,20.3366889156363,3109.7898831579,4774.17723263158,23475686
"35",2015,13.2094321041689,20.3871320713426,3145.95768945727,4855.39835475435,23815995
"36",2016,13.1720100667469,20.4375752270489,3186.42870527738,4944.03481623044,24190907
"37",2017,13.1345880293249,20.4880183827552,3231.35295855126,5040.4335992997,24601860
"38",2018,13.0971659919028,20.5384615384615,3272.02411659919,5131.05976615384,24982688
"39",2019,13.0597439544808,20.5889046941679,3312.51355002845,5222.23299456614,25364307
"40",2020,13.0223219170588,20.6393478498742,3303.02170957107,5235.02755143998,25364307
"41",2021,12.9848998796367,20.6897910055805,3293.52986911369,5247.82210831382,25364307
"42",2022,12.9474778422147,20.7402341612868,3284.03802865631,5260.61666518766,25364307
"43",2023,12.9100558047926,20.7906773169931,3274.54618819893,5273.4112220615,25364307
"44",2024,12.8726337673706,20.8411204726994,3265.05434774155,5286.20577893533,25364307
"45",2025,12.8352117299486,20.8915636284057,3255.56250728417,5299.00033580917,25364307
"46",2026,12.7977896925265,20.942006784112,3246.07066682679,5311.794892683,25364307
"47",2027,12.7603676551045,20.9924499398184,3236.57882636941,5324.58944955684,25364307
"48",2028,12.7229456176825,21.0428930955247,3227.08698591202,5337.38400643068,25364307
